level1,level2,level3,p-values,p-values (corrected),Effect size,mean,SD,Mat
Carbohydrates,Central carbohydrate metabolism,Ethylmalonyl-CoA_pathway_of_C2_assimilation,9.87E-07,3.44E-05,0.685369817,0.072559987,0.007366346,Blister
Carbohydrates,CO2 fixation,"CO2_uptake,_carboxysome",6.42E-06,0.000125814,0.63871459,0.020498151,0.015166047,Blister
Carbohydrates,Di- and oligosaccharides,Beta-Glucoside_Metabolism,3.02E-07,1.78E-05,0.711565345,0.035573188,0.013981002,Blister
Carbohydrates,Di- and oligosaccharides,Fructooligosaccharides(FOS)_and_Raffinose_Utilization,2.38E-07,1.60E-05,0.716576332,0.004199564,0.004628767,Blister
Carbohydrates,Di- and oligosaccharides,Trehalose_Biosynthesis,1.82E-06,4.76E-05,0.670865033,0.20554592,0.014826868,Blister
Carbohydrates,Monosaccharides,D-Galacturonate_and_D-Glucuronate_Utilization,7.82E-06,0.00014157,0.633369927,0.143445231,0.024654192,Blister
Carbohydrates,Monosaccharides,D-ribose_utilization,3.66E-05,0.000410074,0.588730187,0.18366128,0.025609295,Blister
Carbohydrates,Monosaccharides,L-fucose_utilization,2.82E-08,2.95E-06,0.757534471,0.028150489,0.009526696,Blister
Carbohydrates,Monosaccharides,L-rhamnose_utilization,2.18E-05,0.000280393,0.604403562,0.124410849,0.026093106,Blister
Carbohydrates,Organic acids,Glycerate_metabolism,3.38E-06,7.77E-05,0.655429103,0.021226677,0.0098127,Blister
Carbohydrates,Polysaccharides,Glycogen_metabolism,4.38E-05,0.000452524,0.583201247,0.326451853,0.070912075,Blister
Carbohydrates,Sugar alcohols,Inositol_catabolism,1.70E-06,4.58E-05,0.672461619,0.077256573,0.013757664,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Coenzyme F420,Coenzyme_F420_synthesis,2.10E-05,0.000274527,0.605432328,0,0,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Quinone cofactors,Menaquinone_Biosynthesis_via_Futalosine_--_gjo,4.23E-05,0.000447223,0.58426049,0.014842264,0.007632583,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Tetrapyrroles,Bilin_Biosynthesis,8.77E-06,0.000152783,0.630256472,0,0,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Tetrapyrroles,Chlorophyll_Biosynthesis,3.05E-05,0.00036284,0.594337889,0.257100953,0.052007053,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Tetrapyrroles,Chlorophyll_Degradation,4.19E-06,9.18E-05,0.649922212,0,0,Blister
"Cofactors, Vitamins, Prosthetic Groups, Pigments",Tetrapyrroles,Coenzyme_B12_biosynthesis,3.94E-05,0.000430572,0.586500649,0.256382816,0.020678917,Blister
Nitrogen Metabolism,Nitrate and nitrite ammonification,Nitrate_and_nitrite_ammonification,1.08E-07,8.43E-06,0.732600956,0.032936922,0.011867222,Blister
Nitrogen Metabolism,Nitrogen fixation,Nitrogen_fixation,5.16E-05,0.000505834,0.578025024,0.038248789,0.013717708,Blister
Photosynthesis,Electron transport and photophosphorylation,Photosystem_II,3.99E-07,1.98E-05,0.705640833,0.001322946,0.002320615,Blister
Photosynthesis,Light-harvesting complexes,Phycobilisome,2.09E-08,2.46E-06,0.762718286,0.000528899,0.001182654,Blister
Respiration,ATP synthases,V-Type_ATP_synthase,1.47E-06,4.46E-05,0.67600733,0.061553521,0.008554069,Blister
Respiration,Biogenesis of c-type cytochromes,Biogenesis_of_c-type_cytochromes,5.40E-07,2.21E-05,0.699000207,0.280657438,0.023766467,Blister
